,,open,high,low,close
BTC/USD,2025-11-06 15:50:00,100804.37000,100966.41000,100758.06000,100850.86000
BTC/USD,2025-11-06 15:45:00,100711.76000,100865.82000,100648.82000,100804.36000
BTC/USD,2025-11-06 15:40:00,100871.52000,100899.00000,100594.31000,100711.75000
BTC/USD,2025-11-06 15:35:00,101064.97000,101105.31000,100845.19000,100871.52000
BTC/USD,2025-11-06 15:30:00,101039.54000,101078.38000,100826.97000,101064.97000
BTC/USD,2025-11-06 15:25:00,101314.09000,101426.00000,100990.51000,101039.54000
BTC/USD,2025-11-06 15:20:00,101109.94000,101318.28000,101038.78000,101314.10000
BTC/USD,2025-11-06 15:15:00,101256.00000,101329.99000,101070.14000,101109.94000
BTC/USD,2025-11-06 15:10:00,101355.33000,101571.71000,101212.01000,101255.99000
BTC/USD,2025-11-06 15:05:00,101494.23000,101591.46000,101337.60000,101355.34000
BTC/USD,2025-11-06 15:00:00,101325.58000,101535.89000,101325.58000,101500.39000
BTC/USD,2025-11-06 14:55:00,101299.77000,101550.00000,101176.00000,101325.58000
BTC/USD,2025-11-06 14:50:00,101238.00000,101332.97000,101160.55000,101297.94000
BTC/USD,2025-11-06 14:45:00,101409.98000,101483.00000,101148.01000,101237.99000
BTC/USD,2025-11-06 14:40:00,101546.52000,101546.53000,101180.00000,101406.01000
BTC/USD,2025-11-06 14:35:00,101611.00000,101850.00000,101546.50000,101546.50000
BTC/USD,2025-11-06 14:30:00,101772.03000,101772.03000,101596.11000,101610.01000
BTC/USD,2025-11-06 14:25:00,101680.49000,101855.37000,101587.20000,101772.02000
BTC/USD,2025-11-06 14:20:00,101818.45000,101844.80000,101671.82000,101680.49000
BTC/USD,2025-11-06 14:15:00,101902.17000,101971.11000,101716.47000,101818.00000
BTC/USD,2025-11-06 14:10:00,101801.96000,101918.06000,101690.05000,101902.17000
BTC/USD,2025-11-06 14:05:00,101647.02000,101874.84000,101633.13000,101801.96000
BTC/USD,2025-11-06 14:00:00,101665.54000,101753.50000,101525.35000,101647.02000
