datetime,open,high,low,close
2025-11-06 19:30:00,1.15399,1.15402,1.15398,1.15402
2025-11-06 19:29:00,1.15395,1.15398,1.15393,1.15396
2025-11-06 19:28:00,1.154,1.154,1.15392,1.15394
2025-11-06 19:27:00,1.15406,1.15409,1.15402,1.15403
2025-11-06 19:26:00,1.15413,1.15417,1.15409,1.15409
2025-11-06 19:25:00,1.15414,1.15419,1.15413,1.15413
2025-11-06 19:24:00,1.15414,1.15416,1.1541,1.15414
2025-11-06 19:23:00,1.15414,1.15414,1.1541,1.15412
2025-11-06 19:22:00,1.1543,1.1543,1.15414,1.15416
2025-11-06 19:21:00,1.15433,1.15434,1.15428,1.1543
2025-11-06 19:20:00,1.1543,1.15438,1.1543,1.15437
2025-11-06 19:19:00,1.1543,1.1543,1.1543,1.1543
2025-11-06 19:18:00,1.15447,1.15447,1.15445,1.15445
2025-11-06 19:17:00,1.1545,1.15451,1.15447,1.15447
2025-11-06 19:16:00,1.15451,1.15453,1.1545,1.1545
2025-11-06 19:15:00,1.15451,1.15453,1.15448,1.15451
2025-11-06 19:14:00,1.15458,1.15458,1.1545,1.1545
2025-11-06 19:13:00,1.15457,1.15461,1.15457,1.15461
2025-11-06 19:12:00,1.15457,1.15457,1.15457,1.15457
2025-11-06 19:11:00,1.15453,1.1546,1.15453,1.15458
2025-11-06 19:10:00,1.1545,1.1545,1.15447,1.1545
2025-11-06 19:09:00,1.15454,1.15454,1.15454,1.15454
2025-11-06 19:08:00,1.15457,1.15457,1.15447,1.15451
2025-11-06 19:07:00,1.15461,1.15461,1.15457,1.15457
2025-11-06 19:06:00,1.15465,1.15465,1.15464,1.15465
2025-11-06 19:05:00,1.15481,1.15482,1.15468,1.15468
2025-11-06 19:04:00,1.15471,1.15484,1.15471,1.15482
2025-11-06 19:03:00,1.1547,1.15473,1.15464,1.15465
2025-11-06 19:02:00,1.15474,1.15475,1.15463,1.15466
2025-11-06 19:01:00,1.15477,1.15481,1.15476,1.15481
2025-11-06 19:00:00,1.15484,1.15484,1.15474,1.15478
2025-11-06 18:59:00,1.15482,1.15484,1.15482,1.15484
2025-11-06 18:58:00,1.15476,1.1548,1.15476,1.15479
2025-11-06 18:57:00,1.15483,1.15483,1.15474,1.15474
2025-11-06 18:56:00,1.15482,1.15485,1.15481,1.15483
2025-11-06 18:55:00,1.15484,1.15484,1.15482,1.15483
2025-11-06 18:54:00,1.1549,1.1549,1.15486,1.15486
2025-11-06 18:53:00,1.1549,1.1549,1.1549,1.1549
2025-11-06 18:52:00,1.15501,1.15501,1.15499,1.155
2025-11-06 18:51:00,1.15497,1.155,1.15497,1.155
2025-11-06 18:50:00,1.15501,1.15501,1.15499,1.15499
2025-11-06 18:49:00,1.15498,1.155,1.15498,1.155
2025-11-06 18:48:00,1.15498,1.15498,1.15498,1.15498
2025-11-06 18:47:00,1.15502,1.15502,1.15501,1.15502
2025-11-06 18:46:00,1.15503,1.15505,1.15502,1.15502
2025-11-06 18:45:00,1.15503,1.15503,1.15498,1.15503
2025-11-06 18:44:00,1.15498,1.15498,1.15498,1.15498
2025-11-06 18:43:00,1.155,1.155,1.155,1.155
2025-11-06 18:42:00,1.15501,1.15506,1.15501,1.15506
2025-11-06 18:41:00,1.15494,1.15494,1.1549,1.15492
2025-11-06 18:40:00,1.15496,1.15496,1.15491,1.15495
2025-11-06 18:39:00,1.15485,1.15496,1.15485,1.15496
2025-11-06 18:38:00,1.1548,1.15527,1.1548,1.15485
2025-11-06 18:37:00,1.15479,1.15513,1.15479,1.15481
2025-11-06 18:36:00,1.15479,1.15513,1.15478,1.15478
2025-11-06 18:35:00,1.15484,1.15513,1.1548,1.1548
2025-11-06 18:34:00,1.15483,1.15527,1.15483,1.15485
2025-11-06 18:33:00,1.15487,1.15527,1.15482,1.15482
2025-11-06 18:32:00,1.15527,1.15527,1.15487,1.15527
2025-11-06 18:31:00,1.15499,1.155,1.15498,1.15498
2025-11-06 18:30:00,1.15502,1.15502,1.155,1.155
2025-11-06 18:29:00,1.15505,1.1554,1.15503,1.15503
2025-11-06 18:28:00,1.15502,1.1554,1.15502,1.15505
2025-11-06 18:27:00,1.15502,1.1554,1.15502,1.15502
2025-11-06 18:26:00,1.15507,1.15553,1.15507,1.15515
2025-11-06 18:25:00,1.15506,1.1554,1.15505,1.15507
2025-11-06 18:24:00,1.15506,1.1554,1.15506,1.15506
2025-11-06 18:23:00,1.1554,1.1554,1.15502,1.1554
2025-11-06 18:22:00,1.15506,1.1554,1.15495,1.15496
2025-11-06 18:21:00,1.15507,1.15553,1.15507,1.15508
2025-11-06 18:20:00,1.1554,1.1554,1.15505,1.1554
2025-11-06 18:19:00,1.15487,1.1554,1.15487,1.15501
2025-11-06 18:18:00,1.15487,1.15527,1.15482,1.15487
2025-11-06 18:17:00,1.15513,1.15513,1.15481,1.15513
2025-11-06 18:16:00,1.15482,1.15513,1.15481,1.15481
2025-11-06 18:15:00,1.15513,1.15513,1.15482,1.15513
2025-11-06 18:14:00,1.15484,1.15513,1.15484,1.15484
2025-11-06 18:13:00,1.15513,1.15513,1.15479,1.15513
2025-11-06 18:12:00,1.15487,1.15487,1.15487,1.15487
2025-11-06 18:11:00,1.15492,1.15492,1.15487,1.15488
2025-11-06 18:10:00,1.15491,1.15493,1.15491,1.15493
2025-11-06 18:09:00,1.15487,1.15491,1.15487,1.15488
2025-11-06 18:08:00,1.15493,1.15493,1.15488,1.15488
2025-11-06 18:07:00,1.15489,1.15489,1.15489,1.15489
2025-11-06 18:06:00,1.1549,1.15492,1.15487,1.15491
2025-11-06 18:05:00,1.15488,1.15493,1.15487,1.15489
2025-11-06 18:04:00,1.15489,1.15527,1.15486,1.15486
2025-11-06 18:03:00,1.15489,1.15527,1.15489,1.15489
2025-11-06 18:02:00,1.15485,1.15527,1.15485,1.15491
2025-11-06 18:01:00,1.1549,1.15513,1.1548,1.15488
2025-11-06 18:00:00,1.15447,1.15513,1.15447,1.15493
2025-11-06 17:59:00,1.15441,1.15487,1.15438,1.15443
2025-11-06 17:58:00,1.15487,1.15487,1.1544,1.15487
2025-11-06 17:57:00,1.1545,1.15454,1.15446,1.1545
2025-11-06 17:56:00,1.15457,1.15461,1.1545,1.15451
2025-11-06 17:55:00,1.15461,1.15463,1.1546,1.1546
2025-11-06 17:54:00,1.15461,1.15461,1.1546,1.15461
2025-11-06 17:53:00,1.15461,1.15463,1.15458,1.15461
2025-11-06 17:52:00,1.15457,1.15464,1.15457,1.15464
2025-11-06 17:51:00,1.15457,1.15457,1.15454,1.15457
2025-11-06 17:50:00,1.15454,1.15455,1.1545,1.15455
2025-11-06 17:49:00,1.15455,1.15455,1.15455,1.15455
2025-11-06 17:48:00,1.15454,1.15454,1.15454,1.15454
2025-11-06 17:47:00,1.15454,1.15454,1.15454,1.15454
2025-11-06 17:46:00,1.15464,1.15464,1.15464,1.15464
2025-11-06 17:45:00,1.15463,1.15463,1.15461,1.15461
2025-11-06 17:44:00,1.15461,1.15463,1.15461,1.15461
2025-11-06 17:43:00,1.15461,1.15463,1.15461,1.15461
2025-11-06 17:42:00,1.15457,1.15458,1.15457,1.15458
2025-11-06 17:41:00,1.15457,1.15458,1.15457,1.15457
2025-11-06 17:40:00,1.15461,1.15461,1.15457,1.15457
2025-11-06 17:39:00,1.15461,1.15461,1.15461,1.15461
